Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
11158,Osprey II sweeper,Nitehawk,"","",[10416],Ethanol (E85),Street Sweeper,""
10838,Osprey II sweeper,Nitehawk,"","",[10220],Propane - Bi-fuel,Street Sweeper,""
10839,Raptor II sweeper,Nitehawk,"","",[10220],CNG - Compressed Natural Gas|Propane - Bi-fuel,Street Sweeper,""
10986,LFS Artic HEV - Class 8,Nova Bus,"Allison, BAE",62,"[10042, 10428, 10476]",Diesel/Hybrid Electric,Transit Bus,""
10240,LFS CNG - Class 8,Nova Bus,"ZF, Allison, Voith",41,[10013],CNG - Compressed Natural Gas,Transit Bus,""
10872,LFSe,Nova Bus,"",37,[10574],Electric,Transit Bus,""
11076,LFSe+,Nova Bus,"",41,[10475],Electric,Transit Bus,""
10985,LFS HEV - Class 8,Nova Bus,"Allison, BAE",41,[10382],Diesel/Hybrid Electric,Transit Bus,""
11232,E1 Cutaway Chassis,Optimal-EV,"","",[10578],Electric,Vocational/Cab Chassis,Automatic
11233,S1 LF Low Floor,Optimal-EV,"",Up to 20,[10578],Electric,Passenger Van/Shuttle Bus,Automatic
10840,e-TRIEVER,Orange EV,"","",[10600],Electric,Tractor,""
11261,HUSK-e Rail and Port,Orange EV,"","",[],Electric,Tractor,""
11145,220EV Class 6/7,Peterbilt,"","","[10618, 10619]",Electric,Vocational/Cab Chassis,Automatic
11279,365 - Class 6,Peterbilt,"Allison, Eaton","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
10404,520,Peterbilt,"Allison, Eaton Manual","","[10013, 10301]",CNG - Compressed Natural Gas,Vocational/Cab Chassis,""
11173,520EV - Class 8,Peterbilt,"","",[10620],Electric,Refuse,Automatic
11201,535 - Class 5,Peterbilt,"Allison, PACCAR, Eaton Manual","",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11200,536 - Class 6,Peterbilt,"Allison, PACCAR, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11198,537 - Class 7,Peterbilt,"Allison, PACCAR, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11196,548 - Class 8,Peterbilt,"Allison, PACCAR, Eaton Manual","","[10013, 10505]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Vocational/Cab Chassis,Automatic|Manual
11160,567 - Class 8,Peterbilt,"Allison, PACCAR,  Eaton Automated, Eaton Manual","","[10013, 10301]",CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor|Vocational/Cab Chassis,Automatic|Manual
10842,579,Peterbilt,"PACCAR, Eaton Automated, Eaton Manual","",[10301],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor|Vocational/Cab Chassis,Automatic|Manual
11159,579EV - Class 8,Peterbilt,"","",[10621],Electric,Tractor,Automatic
11162,ZX5+ 35-Foot Bus - Class 8,Proterra,"",29,[10588],Electric,Transit Bus,""
11163,ZX5+ 40-Foot Bus,Proterra,"",40,[10588],Electric,Transit Bus,""
11165,ZX5MAX 40-Foot Bus - Class 8,Proterra,"",40,[10588],Electric,Transit Bus,""
10875,2500/3500 HD,RAM,"","",[10382],Biodiesel (B20),Pickup,""
10878,3500/4500/5500,RAM,"","",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11266,e16L,Rizon,"","",[10595],Electric,Vocational/Cab Chassis,Automatic
443,A7 Tornado sweeper - Class 6,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
11081,A7 Zephyr sweeper - Class 6,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
483,M6 Avalanche,Schwarze Industries,"","",[],CNG - Compressed Natural Gas,Street Sweeper,""
11191,Allstar 22,Starcraft,"",23,[10615],Electric,Passenger Van/Shuttle Bus,""
11169,E-Quest,Starcraft,"",23,[10561],Electric,School Bus,""
11166,E-Quest XL,Starcraft,"",47 or 8 wheelchairs,[10616],Electric,School Bus,""
11262,Semi,Tesla,"","",[10601],Electric,Tractor,Automatic
11055,Saf-T-Liner C2 Jouley,Thomas Built,"",81,[],Electric,School Bus,Automatic
11056,Pro Spotter,TICO,"","",[10505],CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,Tractor,""
11263,Pro Spotter Electric,TICO,"","",[10602],Electric,Tractor,Automatic
992,500x,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
351,600,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
10955,HSP,TYMCO,"","",[10013],CNG - Compressed Natural Gas,Street Sweeper,""
11271,(various models),Utilimaster,"","",[],CNG - Compressed Natural Gas|Electric|Propane,Step Van,Automatic
11168,CX45E,Van Hool,"",Up to 60,[10575],Electric,Transit Bus,""
11264,TDX25E,Van Hool,"",Up to 75,[10575],Electric,Transit Bus,Automatic
11192,VNR Electric,Volvo,Volvo Two-speed I-Shift,"",[],Electric,Tractor,""
11237,VNR Electric - Class 7,Volvo,Volvo Two-speed I-Shift,"",[],Electric,Vocational/Cab Chassis,""
10848,W4 CC,Workhorse,"","",[10589],Electric,Vocational/Cab Chassis,Automatic
11265,W750,Workhorse,"","",[10589],Electric,Step Van,Automatic
11243,HDXT - Class 8,Xos,"","",[10603],Electric,Tractor,Automatic
11244,MDXT,Xos,"","",[10603],Electric,Vocational/Cab Chassis,Automatic
11245,SV,Xos,"","",[10617],Electric,Step Van,Automatic
